A,B,C
PRTH,Thyroid hormone resistance, Autosomal recessive
RARB,Microphthalmia, Autosomal dominant
HAP,Microphthalmia, Autosomal dominant
MCOPS12,Microphthalmia, Autosomal dominant
NGLY1,Congenital disorder of deglycosylation, Autosomal recessive
PNG1,Congenital disorder of deglycosylation, Autosomal recessive
CDDG,Congenital disorder of deglycosylation, Autosomal recessive
CDG1V,Congenital disorder of deglycosylation, Autosomal recessive
STT3B,Congenital disorder of glycosylation, Autosomal recessive
SIMP,Congenital disorder of glycosylation, Autosomal recessive
CDG1X,Congenital disorder of glycosylation, Autosomal recessive
GLB1,GM1-gangliosidosis, Autosomal recessive
GLB1,GM1-gangliosidosis, Autosomal recessive
GLB1,Mucopolysaccharidosis type IVB (Morquio), Autosomal recessive
GLB1,GM1-gangliosidosis, Autosomal recessive
MPS4B,GM1-gangliosidosis, Autosomal recessive
MPS4B,GM1-gangliosidosis, Autosomal recessive
MPS4B,Mucopolysaccharidosis type IVB (Morquio), Autosomal recessive
MPS4B,GM1-gangliosidosis, Autosomal recessive
CRTAP,Osteogenesis imperfecta, Autosomal recessive
CASP,Osteogenesis imperfecta, Autosomal recessive
OI7,Osteogenesis imperfecta, Autosomal recessive
MLH1,Mismatch repair cancer syndrome, Autosomal recessive
COCA2,Mismatch repair cancer syndrome, Autosomal recessive
HNPCC2,Mismatch repair cancer syndrome, Autosomal recessive
PLCD1,Nail disorder, Autosomal dominant
NDNC3,Nail disorder, Autosomal dominant
SCN5A,Sick sinus syndrome 1, Autosomal recessive
SCN5A,Sudden infant death syndrome, Autosomal recessive
LQT3,Sick sinus syndrome 1, Autosomal recessive
LQT3,Sudden infant death syndrome, Autosomal recessive
VF1,Sick sinus syndrome 1, Autosomal recessive
VF1,Sudden infant death syndrome, Autosomal recessive
HB1,Sick sinus syndrome 1, Autosomal recessive
HB1,Sudden infant death syndrome, Autosomal recessive
SSS1,Sick sinus syndrome 1, Autosomal recessive
SSS1,Sudden infant death syndrome, Autosomal recessive
CMD1E,Sick sinus syndrome 1, Autosomal recessive
CMD1E,Sudden infant death syndrome, Autosomal recessive
CDCD2,Sick sinus syndrome 1, Autosomal recessive
CDCD2,Sudden infant death syndrome, Autosomal recessive
TTC21A,Spermatogenic failure 37, Autosomal recessive
STI2,Spermatogenic failure 37, Autosomal recessive
SPGF37,Spermatogenic failure 37, Autosomal recessive
SLC25A38,Anemia, Autosomal recessive
SIDBA2,Anemia, Autosomal recessive
TRAK1,Epileptic encephalopathy, Autosomal recessive
OIP106,Epileptic encephalopathy, Autosomal recessive
KIAA1042,Epileptic encephalopathy, Autosomal recessive
EIEE68,Epileptic encephalopathy, Autosomal recessive
POMGNT2,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, Autosomal recessive
POMGNT2,Muscular dystrophy-dystroglycanopathy (limb-girdle) type C, Autosomal recessive
GTDC2,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, Autosomal recessive
GTDC2,Muscular dystrophy-dystroglycanopathy (limb-girdle) type C, Autosomal recessive
C3orf39,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, Autosomal recessive
C3orf39,Muscular dystrophy-dystroglycanopathy (limb-girdle) type C, Autosomal recessive
AGO61,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, Autosomal recessive
AGO61,Muscular dystrophy-dystroglycanopathy (limb-girdle) type C, Autosomal recessive
MDDGA8,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, Autosomal recessive
MDDGA8,Muscular dystrophy-dystroglycanopathy (limb-girdle) type C, Autosomal recessive
MDDGC8,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, Autosomal recessive
MDDGC8,Muscular dystrophy-dystroglycanopathy (limb-girdle) type C, Autosomal recessive
ANO10,Spinocerebellar ataxia, Autosomal recessive
TMEM16K,Spinocerebellar ataxia, Autosomal recessive
SCAR10,Spinocerebellar ataxia, Autosomal recessive
ABHD5,Chanarin-Dorfman syndrome, Autosomal recessive
CGI58,Chanarin-Dorfman syndrome, Autosomal recessive
IECN2,Chanarin-Dorfman syndrome, Autosomal recessive
NCIE2,Chanarin-Dorfman syndrome, Autosomal recessive
LARS2,Perrault syndrome 4, Autosomal recessive
LARS2,Hydrops, Autosomal recessive
PRLTS4,Perrault syndrome 4, Autosomal recessive
PRLTS4,Hydrops, Autosomal recessive
HLASA,Perrault syndrome 4, Autosomal recessive
HLASA,Hydrops, Autosomal recessive
SLC6A20,Iminoglycinuria, Digenic recessive
XT3,Iminoglycinuria, Digenic recessive
LZTFL1,Bardet-Biedl syndrome 17, Autosomal recessive
BBS17,Bardet-Biedl syndrome 17, Autosomal recessive
FYCO1,Cataract 18, Autosomal recessive
CATC2,Cataract 18, Autosomal recessive
CTRCT18,Cataract 18, Autosomal recessive
TMIE,Deafness, Autosomal recessive
DFNB6,Deafness, Autosomal recessive
MYL3,Cardiomyopathy, Autosomal dominant
CMH8,Cardiomyopathy, Autosomal dominant
PTH1R,Eiken syndrome, Autosomal recessive
PTH1R,Chondrodysplasia, Autosomal recessive
PTHR1,Eiken syndrome, Autosomal recessive
PTHR1,Chondrodysplasia, Autosomal recessive
PTHR,Eiken syndrome, Autosomal recessive
PTHR,Chondrodysplasia, Autosomal recessive
PFE,Eiken syndrome, Autosomal recessive
PFE,Chondrodysplasia, Autosomal recessive
EKNS,Eiken syndrome, Autosomal recessive
EKNS,Chondrodysplasia, Autosomal recessive
NBEAL2,Gray platelet syndrome, Autosomal recessive
KIAA0540,Gray platelet syndrome, Autosomal recessive
GPS,Gray platelet syndrome, Autosomal recessive
BDPLT4,Gray platelet syndrome, Autosomal recessive
TREX1,Aicardi-Goutieres syndrome 1, Autosomal dominant
AGS1,Aicardi-Goutieres syndrome 1, Autosomal dominant
CRV,Aicardi-Goutieres syndrome 1, Autosomal dominant
HERNS,Aicardi-Goutieres syndrome 1, Autosomal dominant
COL7A1,EBD inversa, Autosomal recessive
COL7A1,Epidermolysis bullosa dystrophica, Autosomal recessive
COL7A1,Transient bullous of the newborn, Autosomal dominant
COL7A1,Epidermolysis bullosa pruriginosa, Autosomal dominant
COL7A1,Epidermolysis bullosa, Autosomal dominant
NDNC8,EBD inversa, Autosomal recessive
NDNC8,Epidermolysis bullosa dystrophica, Autosomal recessive
NDNC8,Transient bullous of the newborn, Autosomal dominant
NDNC8,Epidermolysis bullosa pruriginosa, Autosomal dominant
NDNC8,Epidermolysis bullosa, Autosomal dominant
SLC25A20,Carnitine-acylcarnitine translocase deficiency, Autosomal recessive
CACT,Carnitine-acylcarnitine translocase deficiency, Autosomal recessive
CAC,Carnitine-acylcarnitine translocase deficiency, Autosomal recessive
P4HTM,Hypotonia, Autosomal recessive
PH4,Hypotonia, Autosomal recessive
HIDEA,Hypotonia, Autosomal recessive
NDUFAF3,Mitochondrial complex I deficiency, Autosomal recessive
MC1DN18,Mitochondrial complex I deficiency, Autosomal recessive
QARS1,Microcephaly, Autosomal recessive
QARS,Microcephaly, Autosomal recessive
GLNRS,Microcephaly, Autosomal recessive
MSCCA,Microcephaly, Autosomal recessive
LAMB2,Pierson syndrome, Autosomal recessive
LAMS,Pierson syndrome, Autosomal recessive
NPHS5,Pierson syndrome, Autosomal recessive
KLHDC8B,Hodgkin lymphoma, Autosomal recessive
CHL,Hodgkin lymphoma, Autosomal recessive
GPX1,Hemolytic anemia due to glutathione peroxidase deficiency, Autosomal recessive
GPXD,Hemolytic anemia due to glutathione peroxidase deficiency, Autosomal recessive
AMT,Glycine encephalopathy, Autosomal recessive
NKH,Glycine encephalopathy, Autosomal recessive
GCE,Glycine encephalopathy, Autosomal recessive
DAG1,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
DAG1,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
DAG,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
DAG,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
MDDGC9,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
MDDGC9,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
MDDGA9,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
MDDGA9,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
LGMDR16,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
LGMDR16,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
GMPPB,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
GMPPB,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
GMPPB,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
KIAA1851,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
KIAA1851,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
KIAA1851,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
MDDGA14,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
MDDGA14,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
MDDGA14,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
MDDGB14,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
MDDGB14,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
MDDGB14,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
MDDGC14,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
MDDGC14,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
MDDGC14,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
LGMDR19,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), Autosomal recessive
LGMDR19,Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), Autosomal recessive
LGMDR19,Muscular dystrophy-dystroglycanopathy (limb-girdle), Autosomal recessive
TRAIP,Seckel syndrome 9, Autosomal recessive
TRIP,Seckel syndrome 9, Autosomal recessive
RNF206,Seckel syndrome 9, Autosomal recessive
SCKL9,Seckel syndrome 9, Autosomal recessive
GNAT1,Night blindness, Autosomal recessive
CSNBAD3,Night blindness, Autosomal recessive
CSNB1G,Night blindness, Autosomal recessive
HYAL1,Mucopolysaccharidosis type IX, Autosomal recessive
MPS9,Mucopolysaccharidosis type IX, Autosomal recessive
ZMYND10,Ciliary dyskinesia, Autosomal recessive
BLU,Ciliary dyskinesia, Autosomal recessive
CACNA2D2,Cerebellar atrophy with seizures and variable developmental delay, Autosomal recessive
KIAA0558,Cerebellar atrophy with seizures and variable developmental delay, Autosomal recessive
CASVDD,Cerebellar atrophy with seizures and variable developmental delay, Autosomal recessive
DOCK3,Neurodevelopmental disorder with impaired intellectual development, Autosomal recessive
NEDIDHA,Neurodevelopmental disorder with impaired intellectual development, Autosomal recessive
ACY1,Aminoacylase 1 deficiency, Autosomal recessive
ACY1D,Aminoacylase 1 deficiency, Autosomal recessive
POC1A,Short stature, Autosomal recessive
PIX2,Short stature, Autosomal recessive
SOFT,Short stature, Autosomal recessive
GLYCTK,D-glyceric aciduria, Autosomal recessive
GLYCTK1,D-glyceric aciduria, Autosomal recessive
DNAH1,Ciliary dyskinesia, Autosomal recessive
DNAH1,Spermatogenic failure 18, Autosomal recessive
HL11,Ciliary dyskinesia, Autosomal recessive
HL11,Spermatogenic failure 18, Autosomal recessive
DNAHC1,Ciliary dyskinesia, Autosomal recessive
DNAHC1,Spermatogenic failure 18, Autosomal recessive
HDHC7,Ciliary dyskinesia, Autosomal recessive
HDHC7,Spermatogenic failure 18, Autosomal recessive
SPGF18,Ciliary dyskinesia, Autosomal recessive
SPGF18,Spermatogenic failure 18, Autosomal recessive
CILD37,Ciliary dyskinesia, Autosomal recessive
CILD37,Spermatogenic failure 18, Autosomal recessive
RFT1,Congenital disorder of glycosylation, Autosomal recessive
CDG1N,Congenital disorder of glycosylation, Autosomal recessive
PRKCD,Autoimmune lymphoproliferative syndrome, Autosomal recessive
CVID9,Autoimmune lymphoproliferative syndrome, Autosomal recessive
ALPS3,Autoimmune lymphoproliferative syndrome, Autosomal recessive
TKT,Short stature, Autosomal recessive
SDDHD,Short stature, Autosomal recessive
CACNA1D,Sinoatrial node dysfunction and deafness, Autosomal recessive
CACNL1A2,Sinoatrial node dysfunction and deafness, Autosomal recessive
CCHL1A2,Sinoatrial node dysfunction and deafness, Autosomal recessive
SANDD,Sinoatrial node dysfunction and deafness, Autosomal recessive
PASNA,Sinoatrial node dysfunction and deafness, Autosomal recessive
IL17RD,Hypogonadotropic hypogonadism 18 with or without anosmia, Digenic dominant
SEF,Hypogonadotropic hypogonadism 18 with or without anosmia, Digenic dominant
HH18,Hypogonadotropic hypogonadism 18 with or without anosmia, Digenic dominant
HESX1,Pituitary hormone deficiency, Autosomal dominant
HESX1,Septooptic dysplasia, Autosomal dominant
HESX1,Growth hormone deficiency with pituitary anomalies, Autosomal dominant
RPX,Pituitary hormone deficiency, Autosomal dominant
RPX,Septooptic dysplasia, Autosomal dominant
RPX,Growth hormone deficiency with pituitary anomalies, Autosomal dominant
CPHD5,Pituitary hormone deficiency, Autosomal dominant
CPHD5,Septooptic dysplasia, Autosomal dominant
CPHD5,Growth hormone deficiency with pituitary anomalies, Autosomal dominant
FLNB,Spondylocarpotarsal synostosis syndrome, Autosomal recessive
SCT,Spondylocarpotarsal synostosis syndrome, Autosomal recessive
AOI,Spondylocarpotarsal synostosis syndrome, Autosomal recessive
LRS1,Spondylocarpotarsal synostosis syndrome, Autosomal recessive
DNASE1L3,Systemic lupus erythematosus 16, Autosomal recessive
SLEB16,Systemic lupus erythematosus 16, Autosomal recessive
ACOX2,Bile acid synthesis defect, Autosomal recessive
BRCACOX,Bile acid synthesis defect, Autosomal recessive
CBAS6,Bile acid synthesis defect, Autosomal recessive
SLC25A26,Combined oxidative phosphorylation deficiency 28, Autosomal recessive
SAMC,Combined oxidative phosphorylation deficiency 28, Autosomal recessive
COXPD28,Combined oxidative phosphorylation deficiency 28, Autosomal recessive
EOGT,Adams-Oliver syndrome 4, Autosomal recessive
EOGT1,Adams-Oliver syndrome 4, Autosomal recessive
C3orf64,Adams-Oliver syndrome 4, Autosomal recessive
AOS4,Adams-Oliver syndrome 4, Autosomal recessive
LMOD3,Nemaline myopathy 10, Autosomal recessive
NEM10,Nemaline myopathy 10, Autosomal recessive
MITF,COMMAD syndrome, Autosomal recessive
WS2A,COMMAD syndrome, Autosomal recessive
CMM8,COMMAD syndrome, Autosomal recessive
COMMAD,COMMAD syndrome, Autosomal recessive
GBE1,Polyglucosan body disease, Autosomal recessive
GBE1,Glycogen storage disease IV, Autosomal recessive
GSD4,Polyglucosan body disease, Autosomal recessive
GSD4,Glycogen storage disease IV, Autosomal recessive
APBD,Polyglucosan body disease, Autosomal recessive
APBD,Glycogen storage disease IV, Autosomal recessive
POU1F1,Pituitary hormone deficiency, Autosomal dominant
PIT1,Pituitary hormone deficiency, Autosomal dominant
CPHD1,Pituitary hormone deficiency, Autosomal dominant
PROS1,Thrombophilia due to protein S deficiency, Autosomal recessive
THPH5,Thrombophilia due to protein S deficiency, Autosomal recessive
THPH6,Thrombophilia due to protein S deficiency, Autosomal recessive
ARL13B,Joubert syndrome 8, Autosomal recessive
ARL2L1,Joubert syndrome 8, Autosomal recessive
JBTS8,Joubert syndrome 8, Autosomal recessive
ARL6,Bardet-Biedl syndrome 3, Autosomal recessive
ARL6,Bardet-Biedl syndrome 1, Digenic recessive
BBS3,Bardet-Biedl syndrome 3, Autosomal recessive
BBS3,Bardet-Biedl syndrome 1, Digenic recessive
RP55,Bardet-Biedl syndrome 3, Autosomal recessive
RP55,Bardet-Biedl syndrome 1, Digenic recessive
TBC1D23,Pontocerebellar hypoplasia, Autosomal recessive
PCH11,Pontocerebellar hypoplasia, Autosomal recessive
TFG,Spastic paraplegia 57, Autosomal recessive
HMSNP,Spastic paraplegia 57, Autosomal recessive
SPG57,Spastic paraplegia 57, Autosomal recessive
IMPG2,Retinitis pigmentosa 56, Autosomal recessive
IPM200,Retinitis pigmentosa 56, Autosomal recessive
RP56,Retinitis pigmentosa 56, Autosomal recessive
VMD5,Retinitis pigmentosa 56, Autosomal recessive
TRMT10C,Combined oxidative phosphorylation deficiency 30, Autosomal recessive
RG9MTD1,Combined oxidative phosphorylation deficiency 30, Autosomal recessive
MRPP1,Combined oxidative phosphorylation deficiency 30, Autosomal recessive
COXPD30,Combined oxidative phosphorylation deficiency 30, Autosomal recessive
ZBTB11,Intellectual developmental disorder, Autosomal recessive
MRT69,Intellectual developmental disorder, Autosomal recessive
IFT57,Orofaciodigital syndrome XVIII, Autosomal recessive
ESRRBL1,Orofaciodigital syndrome XVIII, Autosomal recessive
HIPPI,Orofaciodigital syndrome XVIII, Autosomal recessive
OFD18,Orofaciodigital syndrome XVIII, Autosomal recessive
CFAP44,Spermatogenic failure 20, Autosomal recessive
WDR52,Spermatogenic failure 20, Autosomal recessive
SPGF20,Spermatogenic failure 20, Autosomal recessive
ATP6V1A,Cutis laxa, Autosomal recessive
HO68,Cutis laxa, Autosomal recessive
ARCL2D,Cutis laxa, Autosomal recessive
IECEE3,Cutis laxa, Autosomal recessive
POGLUT1,Muscular dystrophy, Autosomal recessive
CLP46,Muscular dystrophy, Autosomal recessive
KTELC1,Muscular dystrophy, Autosomal recessive
RUMI,Muscular dystrophy, Autosomal recessive
C3orf9,Muscular dystrophy, Autosomal recessive
DDD4,Muscular dystrophy, Autosomal recessive
LGMDR21,Muscular dystrophy, Autosomal recessive
TIMMDC1,Mitochondrial complex I deficiency, Autosomal recessive
C3orf1,Mitochondrial complex I deficiency, Autosomal recessive
MC1DN31,Mitochondrial complex I deficiency, Autosomal recessive
HGD,Alkaptonuria, Autosomal recessive
AKU,Alkaptonuria, Autosomal recessive
IQCB1,Senior-Loken syndrome 5, Autosomal recessive
NPHP5,Senior-Loken syndrome 5, Autosomal recessive
KIAA0036,Senior-Loken syndrome 5, Autosomal recessive
ILDR1,Deafness, Autosomal recessive
DFNB42,Deafness, Autosomal recessive
CASR,Hyperparathyroidism, Autosomal dominant
HHC1,Hyperparathyroidism, Autosomal dominant
PCAR1,Hyperparathyroidism, Autosomal dominant
FIH,Hyperparathyroidism, Autosomal dominant
EIG8,Hyperparathyroidism, Autosomal dominant
HYPOC1,Hyperparathyroidism, Autosomal dominant
CSTA,Peeling skin syndrome 4, Autosomal recessive
STFA,Peeling skin syndrome 4, Autosomal recessive
STF1,Peeling skin syndrome 4, Autosomal recessive
AREI,Peeling skin syndrome 4, Autosomal recessive
PSS4,Peeling skin syndrome 4, Autosomal recessive
MYLK,Megacystis-microcolon-intestinal hypoperistalsis syndrome, Autosomal recessive
MLCK,Megacystis-microcolon-intestinal hypoperistalsis syndrome, Autosomal recessive
AAT7,Megacystis-microcolon-intestinal hypoperistalsis syndrome, Autosomal recessive
MMIHS,Megacystis-microcolon-intestinal hypoperistalsis syndrome, Autosomal recessive
UMPS,Orotic aciduria, Autosomal recessive
OPRT,Orotic aciduria, Autosomal recessive
UROC1,Urocanase deficiency, Autosomal recessive
UROCD,Urocanase deficiency, Autosomal recessive
ACAD9,Mitochondrial complex I deficiency, Autosomal recessive
MC1DN20,Mitochondrial complex I deficiency, Autosomal recessive
GP9,Bernard-Soulier syndrome, Autosomal recessive
IFT122,Cranioectodermal dysplasia 1, Autosomal recessive
WDR10,Cranioectodermal dysplasia 1, Autosomal recessive
CED1,Cranioectodermal dysplasia 1, Autosomal recessive
SLSN3,Senior-Loken syndrome 3, Autosomal recessive
RHO,Retinitis punctata albescens, Autosomal dominant
RHO,Retinitis pigmentosa 4, Autosomal dominant
RP4,Retinitis punctata albescens, Autosomal dominant
RP4,Retinitis pigmentosa 4, Autosomal dominant
OPN2,Retinitis punctata albescens, Autosomal dominant
OPN2,Retinitis pigmentosa 4, Autosomal dominant
CSNBAD1,Retinitis punctata albescens, Autosomal dominant
CSNBAD1,Retinitis pigmentosa 4, Autosomal dominant
TRH,Thyrotropin-releasing hormone deficiency, Autosomal recessive
MRPL3,Combined oxidative phosphorylation deficiency 9, Autosomal recessive
MRL3,Combined oxidative phosphorylation deficiency 9, Autosomal recessive
COXPD9,Combined oxidative phosphorylation deficiency 9, Autosomal recessive
UBA5,Spinocerebellar ataxia, Autosomal recessive
UBA5,Epileptic encephalopathy, Autosomal recessive
UBE1DC1,Spinocerebellar ataxia, Autosomal recessive
UBE1DC1,Epileptic encephalopathy, Autosomal recessive
EIEE44,Spinocerebellar ataxia, Autosomal recessive
EIEE44,Epileptic encephalopathy, Autosomal recessive
SCAR24,Spinocerebellar ataxia, Autosomal recessive
SCAR24,Epileptic encephalopathy, Autosomal recessive
NPHP3,Meckel syndrome 7, Autosomal recessive
NPHP3,Renal-hepatic-pancreatic dysplasia 1, Autosomal recessive
NPHP3,Nephronophthisis 3, Autosomal recessive
NPH3,Meckel syndrome 7, Autosomal recessive
NPH3,Renal-hepatic-pancreatic dysplasia 1, Autosomal recessive
NPH3,Nephronophthisis 3, Autosomal recessive
RHPD1,Meckel syndrome 7, Autosomal recessive
RHPD1,Renal-hepatic-pancreatic dysplasia 1, Autosomal recessive
RHPD1,Nephronophthisis 3, Autosomal recessive
MKS7,Meckel syndrome 7, Autosomal recessive
MKS7,Renal-hepatic-pancreatic dysplasia 1, Autosomal recessive
MKS7,Nephronophthisis 3, Autosomal recessive
TF,Atransferrinemia, Autosomal recessive
TFQTL1,Atransferrinemia, Autosomal recessive
SLCO2A1,Hypertrophic osteoarthropathy, Autosomal recessive
OATP2A1,Hypertrophic osteoarthropathy, Autosomal recessive
PGT,Hypertrophic osteoarthropathy, Autosomal recessive
SLC21A2,Hypertrophic osteoarthropathy, Autosomal recessive
PHOAR2,Hypertrophic osteoarthropathy, Autosomal recessive
CEP63,Seckel syndrome 6, Autosomal recessive
SCKL6,Seckel syndrome 6, Autosomal recessive
KY,Myopathy, Autosomal recessive
MFM7,Myopathy, Autosomal recessive
PCCB,Propionicacidemia, Autosomal recessive
DZIP1L,Polycystic kidney disease 5, Autosomal recessive
DZIP2,Polycystic kidney disease 5, Autosomal recessive
PKD5,Polycystic kidney disease 5, Autosomal recessive
MRPS22,Combined oxidative phosphorylation deficiency 5, Autosomal recessive
MRPS22,Ovarian dysgenesis 7, Autosomal recessive
C3orf5,Combined oxidative phosphorylation deficiency 5, Autosomal recessive
C3orf5,Ovarian dysgenesis 7, Autosomal recessive
COXPD5,Combined oxidative phosphorylation deficiency 5, Autosomal recessive
COXPD5,Ovarian dysgenesis 7, Autosomal recessive
ODG7,Combined oxidative phosphorylation deficiency 5, Autosomal recessive
ODG7,Ovarian dysgenesis 7, Autosomal recessive
COPB2,Microcephaly 19, Autosomal recessive
MCPH19,Microcephaly 19, Autosomal recessive
ATR,Seckel syndrome 1, Autosomal recessive
FRP1,Seckel syndrome 1, Autosomal recessive
SCKL1,Seckel syndrome 1, Autosomal recessive
FCTCS,Seckel syndrome 1, Autosomal recessive
PLOD2,Bruck syndrome 2, Autosomal recessive
LH2,Bruck syndrome 2, Autosomal recessive
TLH,Bruck syndrome 2, Autosomal recessive
BRKS2,Bruck syndrome 2, Autosomal recessive
AGTR1,Renal tubular dysgenesis, Autosomal recessive
AGTR1A,Renal tubular dysgenesis, Autosomal recessive
AT2R1,Renal tubular dysgenesis, Autosomal recessive
GYG1,Glycogen storage disease XV, Autosomal recessive
GYG1,Polyglucosan body myopathy 2, Autosomal recessive
GSD15,Glycogen storage disease XV, Autosomal recessive
GSD15,Polyglucosan body myopathy 2, Autosomal recessive
HPS3,Hermansky-Pudlak syndrome 3, Autosomal recessive
CP,[Hypoceruloplasminemia, Autosomal recessive
CP,Hemosiderosis, Autosomal recessive
CP,Cerebellar ataxia, Autosomal recessive
CLRN1,Usher syndrome, Autosomal recessive
USH3A,Usher syndrome, Autosomal recessive
USH3,Usher syndrome, Autosomal recessive
RP61,Usher syndrome, Autosomal recessive
P2RY12,Bleeding disorder, Autosomal recessive
P2Y12,Bleeding disorder, Autosomal recessive
BDPLT8,Bleeding disorder, Autosomal recessive
MME,Charcot-Marie-Tooth disease, Autosomal dominant
CD10,Charcot-Marie-Tooth disease, Autosomal dominant
CALLA,Charcot-Marie-Tooth disease, Autosomal dominant
NEP,Charcot-Marie-Tooth disease, Autosomal dominant
CMT2T,Charcot-Marie-Tooth disease, Autosomal dominant
SCA43,Charcot-Marie-Tooth disease, Autosomal dominant
SLC33A1,Congenital cataracts, Autosomal recessive
ACATN,Congenital cataracts, Autosomal recessive
AT1,Congenital cataracts, Autosomal recessive
SPG42,Congenital cataracts, Autosomal recessive
CCHLND,Congenital cataracts, Autosomal recessive
RSRC1,Intellectual developmental disorder, Autosomal recessive
SRRP53,Intellectual developmental disorder, Autosomal recessive
MRT70,Intellectual developmental disorder, Autosomal recessive
GFM1,Combined oxidative phosphorylation deficiency 1, Autosomal recessive
EFG1,Combined oxidative phosphorylation deficiency 1, Autosomal recessive
GFM,Combined oxidative phosphorylation deficiency 1, Autosomal recessive
COXPD1,Combined oxidative phosphorylation deficiency 1, Autosomal recessive
IFT80,Short-rib thoracic dysplasia 2 with or without polydactyly, Autosomal recessive
KIAA1374,Short-rib thoracic dysplasia 2 with or without polydactyly, Autosomal recessive
WDR56,Short-rib thoracic dysplasia 2 with or without polydactyly, Autosomal recessive
SRTD2,Short-rib thoracic dysplasia 2 with or without polydactyly, Autosomal recessive
ATD2,Short-rib thoracic dysplasia 2 with or without polydactyly, Autosomal recessive
SI,Sucrase-isomaltase deficiency, Autosomal recessive
APMR2,Alopecia-mental retardation syndrome 2, Autosomal recessive
SLC7A14,Retinitis pigmentosa 68, Autosomal recessive
KIAA1613,Retinitis pigmentosa 68, Autosomal recessive
RP68,Retinitis pigmentosa 68, Autosomal recessive
SLC2A2,Fanconi-Bickel syndrome, Autosomal recessive
GLUT2,Fanconi-Bickel syndrome, Autosomal recessive
TNIK,Mental retardation, Autosomal recessive
KIAA0551,Mental retardation, Autosomal recessive
MRT54,Mental retardation, Autosomal recessive
APMR1,Alopecia-mental retardation syndrome 1, Autosomal recessive
PLD1,Cardiac valvular defect, Autosomal recessive
CVDD,Cardiac valvular defect, Autosomal recessive
GHSR,Growth hormone deficiency, Autosomal dominant
GHDP,Growth hormone deficiency, Autosomal dominant
SPATA16,Spermatogenic failure 6, Autosomal recessive
SPGF6,Spermatogenic failure 6, Autosomal recessive
DNAJC19,3-methylglutaconic aciduria, Autosomal recessive
TIM14,3-methylglutaconic aciduria, Autosomal recessive
SPG14,Spastic paraplegia 14, Autosomal recessive
MCCC1,3-Methylcrotonyl-CoA carboxylase 1 deficiency, Autosomal recessive
MCCA,3-Methylcrotonyl-CoA carboxylase 1 deficiency, Autosomal recessive
EIF2B5,Leukoencephalopathy with vanishing white matter, Autosomal recessive
EIF2B5,Ovarioleukodystrophy, Autosomal recessive
LVWM,Leukoencephalopathy with vanishing white matter, Autosomal recessive
LVWM,Ovarioleukodystrophy, Autosomal recessive
CACH,Leukoencephalopathy with vanishing white matter, Autosomal recessive
CACH,Ovarioleukodystrophy, Autosomal recessive
CLE,Leukoencephalopathy with vanishing white matter, Autosomal recessive
CLE,Ovarioleukodystrophy, Autosomal recessive
ALG3,Congenital disorder of glycosylation, Autosomal recessive
NOT56L,Congenital disorder of glycosylation, Autosomal recessive
CDGS4,Congenital disorder of glycosylation, Autosomal recessive
